"triage_status","load_status","file_name","expected_name","expected_date_token","expected_sector","date_exists_in_mosaic","matched_mosaic_path","relative_path"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif"
"ya_cargada","ya_cargada","GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_09_edt","26_05_09","edt","True",".\puerto_punta_chungo_drone\26_05_09\cl_mlp_pao_if_ortho_26_05_09_edt.tif","SOLO_TIF_02Jun26\GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif","CL_MLP_PAO_IF_Ortho_26_05_08_dep13_pv5","26_05_08","dep13_pv5","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif"
"revisar_fecha_existente_en_mosaico","nueva_candidata","GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_08_patio_sdrnp","26_05_08","patio_sdrnp","True","","SOLO_TIF_02Jun26\GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif"
"revisar_fecha_o_nombre","sin_fecha","GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif"
"descartar_posible_plano","descartar_posible_plano","GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif","","","","False","","SOLO_TIF_02Jun26\GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif"
"nueva_alta_confianza","nueva_candidata","SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif","CL_MLP_PAO_IF_Ortho_26_05_29_sin_id_estacion_de_valvulas_n_1","26_05_29","sin_id_estacion_de_valvulas_n_1","False","","SOLO_TIF_02Jun26\SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif"
