"file_name","expected_file_name","expected_date_token","expected_sector"
"GEOSP-TRN-002200_ORTOFOTO COMPLETA.tif","CL_MLP_PAO_IF_Ortho_00_22_00_GEOSP_TRN_ORTOFOTO_COMPLETA.tif","00_22_00","GEOSP_TRN_ORTOFOTO_COMPLETA"
"GEOSP-TRN-002235_GS_ORTOFOTO_EB2_27-03-26.tif","CL_MLP_PAO_IF_Ortho_26_03_27_GS_ORTOFOTO_EB2.tif","26_03_27","GS_ORTOFOTO_EB2"
"GEOSP-TRN-002300_ortofoto completa.tif","CL_MLP_PAO_IF_Ortho_00_23_00_GEOSP_TRN_ORTOFOTO_COMPLETA.tif","00_23_00","GEOSP_TRN_ORTOFOTO_COMPLETA"
"GEOSP-TRN-002356_GS_ORTOFOTO_EB2_12-04-26.tif","CL_MLP_PAO_IF_Ortho_26_04_12_GS_ORTOFOTO_EB2.tif","26_04_12","GS_ORTOFOTO_EB2"
"GEOSP-TRN-002415_GS_ORTOFOTO_EB2_190426.tif","CL_MLP_PAO_IF_Ortho_26_04_19_GS_ORTOFOTO_EB2.tif","26_04_19","GS_ORTOFOTO_EB2"
"GEOSP-TRN-002456_ORTOFOTO_CORTADA_EB2_260426.tif","CL_MLP_PAO_IF_Ortho_26_04_26_ORTOFOTO_CORTADA_EB2.tif","26_04_26","ORTOFOTO_CORTADA_EB2"
"GEOSP-TRN-002504_1001-03-T-CS-202-4310-C-DW-23478[000].tif","CL_MLP_PAO_IF_Ortho_04_25_00_GEOSP_TRN_1001_03_T_CS_202_4310_C_DW_23478_000.tif","04_25_00","GEOSP_TRN_1001_03_T_CS_202_4310_C_DW_23478_000"
"GEOSP-TRN-002507_GS_ORTOFOTO PLATAFORMA 30-04-2026.tif","CL_MLP_PAO_IF_Ortho_26_04_30_GS_ORTOFOTO_PLATAFORMA.tif","26_04_30","GS_ORTOFOTO_PLATAFORMA"
"GEOSP-TRN-002517_1001-03-T-CS-202-5600-C-DW-11486[000].tif","CL_MLP_PAO_IF_Ortho_17_25_00_GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11486_000.tif","17_25_00","GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11486_000"
"GEOSP-TRN-002522_GS_ORTOFOTO_EB2_020526.tif","CL_MLP_PAO_IF_Ortho_26_05_02_GS_ORTOFOTO_EB2.tif","26_05_02","GS_ORTOFOTO_EB2"
"GEOSP-TRN-002551_1001-03-T-CS-202-5600-C-DW-11490[000].tif","CL_MLP_PAO_IF_Ortho_51_25_00_GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11490_000.tif","51_25_00","GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11490_000"
"GEOSP-TRN-002562_1001-03-T-CS-202-5600-C-DW-11492[000].tif","CL_MLP_PAO_IF_Ortho_62_25_00_GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11492_000.tif","62_25_00","GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11492_000"
"GEOSP-TRN-002566_1001-03-T-CS-202-5600-C-DW-11494[000].tif","CL_MLP_PAO_IF_Ortho_66_25_00_GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11494_000.tif","66_25_00","GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11494_000"
"GEOSP-TRN-002572_GS_Ortofoto_EDT_09-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_09_GS_ORTOFOTO_EDT.tif","26_05_09","GS_ORTOFOTO_EDT"
"GEOSP-TRN-002573_GS_ORTOFOTO DEP13 - PV5 (08-05-2026).tif","CL_MLP_PAO_IF_Ortho_26_05_08_GS_ORTOFOTO_DEP13_PV5.tif","26_05_08","GS_ORTOFOTO_DEP13_PV5"
"GEOSP-TRN-002576_GS_ORTOFOTO PATIO SDRNP_08-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_08_GS_ORTOFOTO_PATIO_SDRNP.tif","26_05_08","GS_ORTOFOTO_PATIO_SDRNP"
"GEOSP-TRN-002577_1001-03-T-CS-202-5600-C-DW-11500[000].tif","CL_MLP_PAO_IF_Ortho_77_25_00_GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11500_000.tif","77_25_00","GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11500_000"
"GEOSP-TRN-002580_GS_Ortofoto Deposito Patio Pulmon.tif","CL_MLP_PAO_IF_Ortho_80_25_00_GEOSP_TRN_GS_ORTOFOTO_DEPOSITO_PATIO_PULMON.tif","80_25_00","GEOSP_TRN_GS_ORTOFOTO_DEPOSITO_PATIO_PULMON"
"GEOSP-TRN-002587_1001-03-T-CS-202-5600-C-DW-11504[000].tif","CL_MLP_PAO_IF_Ortho_87_25_00_GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11504_000.tif","87_25_00","GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11504_000"
"GEOSP-TRN-002588_1001-03-T-CS-202-5600-C-DW-11502[000].tif","CL_MLP_PAO_IF_Ortho_88_25_00_GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11502_000.tif","88_25_00","GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11502_000"
"GEOSP-TRN-002590_1001-03-T-CS-202-5600-C-DW-11506[000].tif","CL_MLP_PAO_IF_Ortho_90_25_00_GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11506_000.tif","90_25_00","GEOSP_TRN_1001_03_T_CS_202_5600_C_DW_11506_000"
"SIN_ID_GS_ORTOFOTO_ESTACION DE VALVULAS N°1 (prioridad 14)_29_05_26_.tif","CL_MLP_PAO_IF_Ortho_26_05_29_SIN_ID_GS_ORTOFOTO_ESTACION_DE_VALVULAS_N_1.tif","26_05_29","SIN_ID_GS_ORTOFOTO_ESTACION_DE_VALVULAS_N_1"
"GEOSP-TRN-002511_GS_Ortofoto Estación Cabeceras (EC)_01_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_01_GS_ORTOFOTO_ESTACION_CABECERAS.tif","26_05_01","GS_ORTOFOTO_ESTACION_CABECERAS"
"GEOSP-TRN-002545_GS_ORTOFOTO_EB3_06-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_06_GS_ORTOFOTO_EB3.tif","26_05_06","GS_ORTOFOTO_EB3"
"GEOSP-TRN-002546_GS_ORTOFOTO_SSEE_06-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_06_GS_ORTOFOTO_SSEE.tif","26_05_06","GS_ORTOFOTO_SSEE"
"GEOSP-TRN-002555_GS_Ortofoto_Tramo 2 Línea 33 kV E-085 – E-125_06-05-26.tif","CL_MLP_PAO_IF_Ortho_05_06_25_GS_ORTOFOTO_TRAMO_2_LINEA_33_KV_E_085_E_1_26.tif","05_06_25","GS_ORTOFOTO_TRAMO_2_LINEA_33_KV_E_085_E_1_26"
"GEOSP-TRN-002591_GS_Ortofoto ED1_10-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_10_GS_ORTOFOTO_ED1.tif","26_05_10","GS_ORTOFOTO_ED1"
"GEOSP-TRN-002592_GS_Ortofoto_Helipuerto Mauro MLP_10-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_10_GS_ORTOFOTO_HELIPUERTO_MAURO_MLP.tif","26_05_10","GS_ORTOFOTO_HELIPUERTO_MAURO_MLP"
"GEOSP-TRN-002593_GS_ORTOFOTO_PATIO 19B_10-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_10_GS_ORTOFOTO_PATIO_19B.tif","26_05_10","GS_ORTOFOTO_PATIO_19B"
"GEOSP-TRN-002603_ORTOFOTO_CORTADA_EM2_100526.tif","CL_MLP_PAO_IF_Ortho_26_05_10_ORTOFOTO_CORTADA_EM2.tif","26_05_10","ORTOFOTO_CORTADA_EM2"
"GEOSP-TRN-002604_GS_Ortofoto_Tramo 2 Línea 33 kV E-048 – E-084_07-05-26.tif","CL_MLP_PAO_IF_Ortho_05_07_84_GS_ORTOFOTO_TRAMO_2_LINEA_33_KV_E_048_E_0_26.tif","05_07_84","GS_ORTOFOTO_TRAMO_2_LINEA_33_KV_E_048_E_0_26"
"GEOSP-TRN-002606_GS_Ortofoto_Tramo 1 Línea 33 kV E-125 – ML EB2_10-05-26.tif","CL_MLP_PAO_IF_Ortho_26_05_10_GS_ORTOFOTO_TRAMO_1_LINEA_33_KV_E_125_ML_EB2.tif","26_05_10","GS_ORTOFOTO_TRAMO_1_LINEA_33_KV_E_125_ML_EB2"
"GEOSP-TRN-002615_GS_ORTOFOTO_ESTACION DE MONITOREO N°2_13-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_13_GS_ORTOFOTO_ESTACION_DE_MONITOREO_N_2.tif","26_05_13","GS_ORTOFOTO_ESTACION_DE_MONITOREO_N_2"
"GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif","CL_MLP_PAO_IF_Ortho_26_05_13_GS_ORTOFOTO_ACCESO_POZOS_PRP.tif","26_05_13","GS_ORTOFOTO_ACCESO_POZOS_PRP"
"GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_13_GS_ORTOFOTO_SUBESTACION_EL_MAURO_PRIORIDAD_1.tif","26_05_13","GS_ORTOFOTO_SUBESTACION_EL_MAURO_PRIORIDAD_1"
"GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_13_GS_ORTOFOTO_EM2_2.tif","26_05_13","GS_ORTOFOTO_EM2_2"
"GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif","CL_MLP_PAO_IF_Ortho_26_05_13_GS_ORTOFOTO_EBD.tif","26_05_13","GS_ORTOFOTO_EBD"
"GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_13_GS_ORTOFOTO_ED2.tif","26_05_13","GS_ORTOFOTO_ED2"
"GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_13_GS_ORTOFOTO_ESTACION_DE_BOMBEO_NO3.tif","26_05_13","GS_ORTOFOTO_ESTACION_DE_BOMBEO_NO3"
"GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif","CL_MLP_PAO_IF_Ortho_26_05_13_GS_ORTOFOTO_POZOS_PRP.tif","26_05_13","GS_ORTOFOTO_POZOS_PRP"
"GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_13_GS_ORTOFOTO_ESTACION_INTERMEDIA_3.tif","26_05_13","GS_ORTOFOTO_ESTACION_INTERMEDIA_3"
"GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_14_GS_ORTOFOTO_EM3.tif","26_05_14","GS_ORTOFOTO_EM3"
"GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_14_GS_ORTOFOTO_CAMINO_ALTERNATIVO_SALAMANCA.tif","26_05_14","GS_ORTOFOTO_CAMINO_ALTERNATIVO_SALAMANCA"
"GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_14_GD_ORTOFOTO_TRAMO_2_LINEA_22_KV_E_35_E48.tif","26_05_14","GD_ORTOFOTO_TRAMO_2_LINEA_22_KV_E_35_E48"
"GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_14_GS_ORTOFOTO_EM4.tif","26_05_14","GS_ORTOFOTO_EM4"
"GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","CL_MLP_PAO_IF_Ortho_26_05_15_GS_ORTOFOTO_HELIPUERTO_MAURO.tif","26_05_15","GS_ORTOFOTO_HELIPUERTO_MAURO"
"GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","CL_MLP_PAO_IF_Ortho_26_05_15_GS_ORTOFOTO_HELIPUERTO_MAURO.tif","26_05_15","GS_ORTOFOTO_HELIPUERTO_MAURO"
"GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_15_GS_ORTOFOTO_EV1.tif","26_05_15","GS_ORTOFOTO_EV1"
"GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif","CL_MLP_PAO_IF_Ortho_26_05_15_GS_ORTOFOTO_ESTACION_CABECERA.tif","26_05_15","GS_ORTOFOTO_ESTACION_CABECERA"
"GEOSP-TRN-002647_GS_ORTOFOTO_TORRES E48 A E84_16-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_16_GS_ORTOFOTO_TORRES_E48_A_E84.tif","26_05_16","GS_ORTOFOTO_TORRES_E48_A_E84"
"GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif","CL_MLP_PAO_IF_Ortho_26_05_17_GS_ORTOFOTO_EV2.tif","26_05_17","GS_ORTOFOTO_EV2"
"GEOSP-TRN-002655_GS_ORTOFOTO_EDT_17-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_17_GS_ORTOFOTO_EDT.tif","26_05_17","GS_ORTOFOTO_EDT"
"GEOSP-TRN-002656_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif","CL_MLP_PAO_IF_Ortho_26_05_14_GD_ORTOFOTO_TRAMO_2_LINEA_22_KV_E_35_E48.tif","26_05_14","GD_ORTOFOTO_TRAMO_2_LINEA_22_KV_E_35_E48"
"GEOSP-TRN-002660_GS_ORTOFOTO_EM1_150526.tif","CL_MLP_PAO_IF_Ortho_26_05_15_GS_ORTOFOTO_EM1.tif","26_05_15","GS_ORTOFOTO_EM1"
"GEOSP-TRN-002665_ORTOFOTO_LINEA 33KV E-085-E125 ( Prioridad 7)_16_16_05_26.tif","CL_MLP_PAO_IF_Ortho_05_16_16_ORTOFOTO_LINEA_33KV_E_085_E125_26.tif","05_16_16","ORTOFOTO_LINEA_33KV_E_085_E125_26"
