"file_name","date_token","sector_candidates","relative_path"
"GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif","26_05_13","em2_2|em2_s2|em2","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif"
"GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif","26_05_13","ebd","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif"
"GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif","26_05_13","ed2","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif"
"GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif","26_05_13","estacion_de_bombeo_n_3|eb3","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif"
"GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif","26_05_13","pozos_prp","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif"
"GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif","26_05_13","estacion_intermedia_3|estacion_intermedia","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif"
"GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif","26_05_14","em3","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif"
"GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif","26_05_14","camino_alternativo_salamanca","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif"
"GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif","26_05_14","em4","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif"
"GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","26_05_15","helipuerto_mauro","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif"
"GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif","26_05_15","helipuerto_mauro","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif"
"GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif","26_05_15","ev1","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif"
"GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif","26_05_15","estacion_cabecera","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif"
"GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif","26_05_17","ev2","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif"
"GEOSP-TRN-002655_GS_ORTOFOTO_EDT_17-05-2026.tif","26_05_17","edt","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002655_GS_ORTOFOTO_EDT_17-05-2026.tif"
"GEOSP-TRN-002660_GS_ORTOFOTO_EM1_150526.tif","26_05_15","em1","20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002660_GS_ORTOFOTO_EM1_150526.tif"
