file_name,stem,extension,path,relative_path,size_mb,modified_at,expected_name,expected_file_name,expected_stem,expected_date_token,expected_sector,expected_sector_candidates,expected_stem_candidates,date_warning,rename_status
GEOSP-TRN-002615_GS_ORTOFOTO_ESTACION DE MONITOREO N°2_13-05-2026.tif,GEOSP-TRN-002615_GS_ORTOFOTO_ESTACION DE MONITOREO N°2_13-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002615_GS_ORTOFOTO_ESTACION DE MONITOREO N°2_13-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002615_GS_ORTOFOTO_ESTACION DE MONITOREO N°2_13-05-2026.tif,531.553,2026-06-05 11:46:15,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_monitoreo_n_2,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_monitoreo_n_2.tif,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_monitoreo_n_2,26_05_13,estacion_de_monitoreo_n_2,estacion_de_monitoreo_n_2,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_monitoreo_n_2,,ok
GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif,GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif,SOLO_TIF_19May26\GEOSP-TRN-002616_GS_ORTOFOTO_ACCESO POZOS PRP_130526.tif,399.55,2026-06-05 11:46:24,CL_MLP_PAO_IF_Ortho_26_05_13_acceso_pozos_prp,CL_MLP_PAO_IF_Ortho_26_05_13_acceso_pozos_prp.tif,CL_MLP_PAO_IF_Ortho_26_05_13_acceso_pozos_prp,26_05_13,acceso_pozos_prp,acceso_pozos_prp,CL_MLP_PAO_IF_Ortho_26_05_13_acceso_pozos_prp,,ok
GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif,GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif,SOLO_TIF_19May26\GEOSP-TRN-002617_GS_ORTOFOTO_SUBESTACION_EL MAURO_PRIORIDAD 1_13_05_26.tif,954.304,2026-06-05 11:46:33,CL_MLP_PAO_IF_Ortho_26_05_13_subestacion_el_mauro,CL_MLP_PAO_IF_Ortho_26_05_13_subestacion_el_mauro.tif,CL_MLP_PAO_IF_Ortho_26_05_13_subestacion_el_mauro,26_05_13,subestacion_el_mauro,subestacion_el_mauro,CL_MLP_PAO_IF_Ortho_26_05_13_subestacion_el_mauro,,ok
GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif,GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002618_GS_ORTOFOTO_EM2-2_13-05-2026.tif,156.937,2026-06-05 11:46:35,CL_MLP_PAO_IF_Ortho_26_05_13_em2_2,CL_MLP_PAO_IF_Ortho_26_05_13_em2_2.tif,CL_MLP_PAO_IF_Ortho_26_05_13_em2_2,26_05_13,em2_2,em2_2,CL_MLP_PAO_IF_Ortho_26_05_13_em2_2,,ok
GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif,GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif,SOLO_TIF_19May26\GEOSP-TRN-002619_GS_ORTOFOTO_EBD_130526.tif,213.754,2026-06-05 11:46:39,CL_MLP_PAO_IF_Ortho_26_05_13_ebd,CL_MLP_PAO_IF_Ortho_26_05_13_ebd.tif,CL_MLP_PAO_IF_Ortho_26_05_13_ebd,26_05_13,ebd,ebd,CL_MLP_PAO_IF_Ortho_26_05_13_ebd,,ok
GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif,GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002620_GS_ORTOFOTO_ED2_13-05-2026.tif,820.834,2026-06-05 11:46:48,CL_MLP_PAO_IF_Ortho_26_05_13_ed2,CL_MLP_PAO_IF_Ortho_26_05_13_ed2.tif,CL_MLP_PAO_IF_Ortho_26_05_13_ed2,26_05_13,ed2,ed2,CL_MLP_PAO_IF_Ortho_26_05_13_ed2,,ok
GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif,GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif,SOLO_TIF_19May26\GEOSP-TRN-002621_GS_ORTOFOTO_ESTACION DE BOMBEO Nº3_13_05_26.tif,56.175,2026-06-05 11:46:51,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_bombeo_no3,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_bombeo_no3.tif,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_bombeo_no3,26_05_13,estacion_de_bombeo_no3,estacion_de_bombeo_no3,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_de_bombeo_no3,,ok
GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif,GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif,SOLO_TIF_19May26\GEOSP-TRN-002622_GS_ORTOFOTO_POZOS PRP_130526.tif,29.052,2026-06-05 11:46:53,CL_MLP_PAO_IF_Ortho_26_05_13_pozos_prp,CL_MLP_PAO_IF_Ortho_26_05_13_pozos_prp.tif,CL_MLP_PAO_IF_Ortho_26_05_13_pozos_prp,26_05_13,pozos_prp,pozos_prp,CL_MLP_PAO_IF_Ortho_26_05_13_pozos_prp,,ok
GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif,GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002623_GS_ORTOFOTO_ESTACIÓN INTERMEDIA 3_13-05-2026.tif,1813.409,2026-06-05 11:47:08,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_intermedia_3,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_intermedia_3.tif,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_intermedia_3,26_05_13,estacion_intermedia_3,estacion_intermedia_3,CL_MLP_PAO_IF_Ortho_26_05_13_estacion_intermedia_3,,ok
GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif,GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002627_GS_ORTOFOTO_EM3_14-05-2026.tif,1021.143,2026-06-05 11:47:19,CL_MLP_PAO_IF_Ortho_26_05_14_em3,CL_MLP_PAO_IF_Ortho_26_05_14_em3.tif,CL_MLP_PAO_IF_Ortho_26_05_14_em3,26_05_14,em3,em3,CL_MLP_PAO_IF_Ortho_26_05_14_em3,,ok
GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif,GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif,SOLO_TIF_19May26\GEOSP-TRN-002629_GS_ORTOFOTO_Camino alternativo Salamanca_ (Prioridad 22)_14_05_26.tif,56.639,2026-06-05 11:47:23,CL_MLP_PAO_IF_Ortho_26_05_14_camino_alternativo_salamanca,CL_MLP_PAO_IF_Ortho_26_05_14_camino_alternativo_salamanca.tif,CL_MLP_PAO_IF_Ortho_26_05_14_camino_alternativo_salamanca,26_05_14,camino_alternativo_salamanca,camino_alternativo_salamanca,CL_MLP_PAO_IF_Ortho_26_05_14_camino_alternativo_salamanca,,ok
GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif,GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002630_GD_ORTOFOTO_Tramo 2 linea 22 KV E-35 - E48_14-05-2026.tif,650.561,2026-06-05 11:47:29,CL_MLP_PAO_IF_Ortho_26_05_14_tramo_2_linea_22_kv_e_35_e48,CL_MLP_PAO_IF_Ortho_26_05_14_tramo_2_linea_22_kv_e_35_e48.tif,CL_MLP_PAO_IF_Ortho_26_05_14_tramo_2_linea_22_kv_e_35_e48,26_05_14,tramo_2_linea_22_kv_e_35_e48,tramo_2_linea_22_kv_e_35_e48,CL_MLP_PAO_IF_Ortho_26_05_14_tramo_2_linea_22_kv_e_35_e48,,ok
GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif,GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002631_GS_ORTOFOTO_EM4_14-05-2026.tif,2073.665,2026-06-05 11:47:46,CL_MLP_PAO_IF_Ortho_26_05_14_em4,CL_MLP_PAO_IF_Ortho_26_05_14_em4.tif,CL_MLP_PAO_IF_Ortho_26_05_14_em4,26_05_14,em4,em4,CL_MLP_PAO_IF_Ortho_26_05_14_em4,,ok
GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,SOLO_TIF_19May26\GEOSP-TRN-002635_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,85.96,2026-06-05 11:47:50,CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro,CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro.tif,CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro,26_05_15,helipuerto_mauro,helipuerto_mauro,CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro,,ok
GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,SOLO_TIF_19May26\GEOSP-TRN-002636_GS_ORTOFOTO_HELIPUERTO MAURO_150526.tif,85.96,2026-06-05 11:47:54,CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro,CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro.tif,CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro,26_05_15,helipuerto_mauro,helipuerto_mauro,CL_MLP_PAO_IF_Ortho_26_05_15_helipuerto_mauro,,ok
GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif,GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002642_GS_ORTOFOTO_EV1_15-05-2026.tif,721.83,2026-06-05 11:47:59,CL_MLP_PAO_IF_Ortho_26_05_15_ev1,CL_MLP_PAO_IF_Ortho_26_05_15_ev1.tif,CL_MLP_PAO_IF_Ortho_26_05_15_ev1,26_05_15,ev1,ev1,CL_MLP_PAO_IF_Ortho_26_05_15_ev1,,ok
GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif,GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif,SOLO_TIF_19May26\GEOSP-TRN-002643_GS_Ortofoto_Estacion Cabecera (Prioridad 25)_15_05_26.tif,88.752,2026-06-05 11:48:02,CL_MLP_PAO_IF_Ortho_26_05_15_estacion_cabecera,CL_MLP_PAO_IF_Ortho_26_05_15_estacion_cabecera.tif,CL_MLP_PAO_IF_Ortho_26_05_15_estacion_cabecera,26_05_15,estacion_cabecera,estacion_cabecera,CL_MLP_PAO_IF_Ortho_26_05_15_estacion_cabecera,,ok
GEOSP-TRN-002647_GS_ORTOFOTO_TORRES E48 A E84_16-05-2026.tif,GEOSP-TRN-002647_GS_ORTOFOTO_TORRES E48 A E84_16-05-2026,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002647_GS_ORTOFOTO_TORRES E48 A E84_16-05-2026.tif,SOLO_TIF_19May26\GEOSP-TRN-002647_GS_ORTOFOTO_TORRES E48 A E84_16-05-2026.tif,1225.743,2026-06-05 11:48:16,CL_MLP_PAO_IF_Ortho_26_05_16_torres_e48_a_e84,CL_MLP_PAO_IF_Ortho_26_05_16_torres_e48_a_e84.tif,CL_MLP_PAO_IF_Ortho_26_05_16_torres_e48_a_e84,26_05_16,torres_e48_a_e84,torres_e48_a_e84,CL_MLP_PAO_IF_Ortho_26_05_16_torres_e48_a_e84,,ok
GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif,GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526,.tif,\\amssclgis10.ams.gmams.cl\CL_MLP_PAO\Vuelos_Drone_Sin_Procesar\INPUT\20260519_Geosupport\SOLO_TIF_19May26\GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif,SOLO_TIF_19May26\GEOSP-TRN-002652_GS_ORTOFOTO_EV2_170526.tif,190.375,2026-06-05 11:48:27,CL_MLP_PAO_IF_Ortho_26_05_17_ev2,CL_MLP_PAO_IF_Ortho_26_05_17_ev2.tif,CL_MLP_PAO_IF_Ortho_26_05_17_ev2,26_05_17,ev2,ev2,CL_MLP_PAO_IF_Ortho_26_05_17_ev2,,ok
